name,link,id,tags
"Life, the Universe, and Everything",https://www.spoj.com/problems/TEST,TEST,"['basic', 'tutorial', 'ad-hoc-1']"
Prime Generator,https://www.spoj.com/problems/PRIME1,PRIME1,['number-theory']
Substring Check (Bug Funny),https://www.spoj.com/problems/SBSTR1,SBSTR1,[]
Transform the Expression,https://www.spoj.com/problems/ONP,ONP,['stack']
The Next Palindrome,https://www.spoj.com/problems/PALIN,PALIN,['ad-hoc-1']
Simple Arithmetics,https://www.spoj.com/problems/ARITH,ARITH,[]
The Bulk!,https://www.spoj.com/problems/BULK,BULK,[]
Complete the Sequence!,https://www.spoj.com/problems/CMPLS,CMPLS,[]
Direct Visibility,https://www.spoj.com/problems/DIRVS,DIRVS,[]
Complicated Expressions,https://www.spoj.com/problems/CMEXPR,CMEXPR,[]
Factorial,https://www.spoj.com/problems/FCTRL,FCTRL,['math']
The Game of Master-Mind,https://www.spoj.com/problems/MMIND,MMIND,[]
Hotline,https://www.spoj.com/problems/HOTLINE,HOTLINE,[]
I-Keyboard,https://www.spoj.com/problems/IKEYB,IKEYB,[]
The Shortest Path,https://www.spoj.com/problems/SHPATH,SHPATH,"['shortest-path', 'dijkstra-s-algorithm']"
Sphere in a tetrahedron,https://www.spoj.com/problems/TETRA,TETRA,[]
The Bytelandian Cryptographer (Act I),https://www.spoj.com/problems/CRYPTO1,CRYPTO1,[]
The Bytelandian Cryptographer (Act II),https://www.spoj.com/problems/CRYPTO2,CRYPTO2,[]
The Bytelandian Cryptographer (Act III),https://www.spoj.com/problems/CRYPTO3,CRYPTO3,[]
The Bytelandian Cryptographer (Act IV),https://www.spoj.com/problems/CRYPTO4,CRYPTO4,[]
Triangle From Centroid,https://www.spoj.com/problems/TRICENTR,TRICENTR,[]
Pyramids,https://www.spoj.com/problems/PIR,PIR,['geometry']
Small factorials,https://www.spoj.com/problems/FCTRL2,FCTRL2,"['math', 'big-numbers']"
Pouring water,https://www.spoj.com/problems/POUR1,POUR1,"['gcd', 'recursion']"
Build the Fence,https://www.spoj.com/problems/BSHEEP,BSHEEP,['convex-hull']
Sorting Bank Accounts,https://www.spoj.com/problems/SBANK,SBANK,"['sorting', 'ad-hoc-1']"
Help the Military Recruitment Office!,https://www.spoj.com/problems/HMRO,HMRO,[]
Hash it!,https://www.spoj.com/problems/HASHIT,HASHIT,"['hash-table', 'hashing']"
Bytelandian Blingors Network,https://www.spoj.com/problems/BLINNET,BLINNET,"['kruskal-s-algorithm', 'mst']"
Fast Multiplication,https://www.spoj.com/problems/MUL,MUL,"['simple-math', 'recursion']"
A Needle in the Haystack,https://www.spoj.com/problems/NHAY,NHAY,[]
Trip,https://www.spoj.com/problems/TRIP,TRIP,['dynamic-programming']
Run Away,https://www.spoj.com/problems/RUNAWAY,RUNAWAY,[]
Equipment Box,https://www.spoj.com/problems/EQBOX,EQBOX,['plane-geometry']
Secret Code,https://www.spoj.com/problems/CODE1,CODE1,[]
The Proper Key,https://www.spoj.com/problems/PROPKEY,PROPKEY,[]
Labyrinth,https://www.spoj.com/problems/LABYR1,LABYR1,['dfs']
Piggy-Bank,https://www.spoj.com/problems/PIGBANK,PIGBANK,['dynamic-programming']
Lifting the Stone,https://www.spoj.com/problems/STONE,STONE,"['math', 'plane-geometry']"
Play on Words,https://www.spoj.com/problems/WORDS1,WORDS1,"['graph-theory', 'euler-circuit']"
Adding Reversed Numbers,https://www.spoj.com/problems/ADDREV,ADDREV,"['simple-math', 'ad-hoc-1']"
Copying Books,https://www.spoj.com/problems/BOOKS1,BOOKS1,['binary-search']
Substitution Cipher,https://www.spoj.com/problems/SCYPHER,SCYPHER,[]
Commedia dell Arte,https://www.spoj.com/problems/COMMEDIA,COMMEDIA,[]
Skyscraper Floors,https://www.spoj.com/problems/SCRAPER,SCRAPER,[]
Glass Beads,https://www.spoj.com/problems/BEADS,BEADS,[]
Hares and Foxes,https://www.spoj.com/problems/HAREFOX,HAREFOX,[]
Invitation Cards,https://www.spoj.com/problems/INCARDS,INCARDS,['bfs']
Fake tournament,https://www.spoj.com/problems/TOUR,TOUR,[]
Julka,https://www.spoj.com/problems/JULKA,JULKA,['big-numbers']
Jasiek,https://www.spoj.com/problems/JASIEK,JASIEK,[]
Dyzio,https://www.spoj.com/problems/DYZIO,DYZIO,"['recursion', 'ad-hoc-1']"
Supernumbers in a permutation,https://www.spoj.com/problems/SUPPER,SUPPER,[]
Crime at Piccadily Circus,https://www.spoj.com/problems/PICAD,PICAD,[]
Bytelandian Information Agency,https://www.spoj.com/problems/BIA,BIA,[]
The Gordian Dance,https://www.spoj.com/problems/DANCE,DANCE,[]
Brackets,https://www.spoj.com/problems/BRCKTS,BRCKTS,['tree']
The Imp,https://www.spoj.com/problems/IMP,IMP,[]
Square Brackets,https://www.spoj.com/problems/SQRBR,SQRBR,['dynamic-programming']
Permutations,https://www.spoj.com/problems/PERMUT1,PERMUT1,['dynamic-programming']
Ball,https://www.spoj.com/problems/BALL1,BALL1,[]
Cross-country,https://www.spoj.com/problems/CRSCNTRY,CRSCNTRY,['dynamic-programming']
Cutting out,https://www.spoj.com/problems/CUTOUT,CUTOUT,[]
Expression,https://www.spoj.com/problems/EXPR1,EXPR1,[]
Moulds,https://www.spoj.com/problems/MOULDS,MOULDS,[]
Relations,https://www.spoj.com/problems/RELATS1,RELATS1,[]
Tree,https://www.spoj.com/problems/TREE1,TREE1,"['math', 'big-numbers', 'disjoint-set-2']"
Bacterial,https://www.spoj.com/problems/BAC,BAC,[]
Editor,https://www.spoj.com/problems/EDIT1,EDIT1,[]
Editor Inverse,https://www.spoj.com/problems/EDIT2,EDIT2,[]
New bricks disorder,https://www.spoj.com/problems/BRICKS,BRICKS,[]
Marbles,https://www.spoj.com/problems/MARBLES,MARBLES,"['combinatorics', 'ad-hoc-1']"
Easy Problem,https://www.spoj.com/problems/EASYPIE,EASYPIE,[]
Bundling,https://www.spoj.com/problems/BUNDLE,BUNDLE,[]
Shortcut,https://www.spoj.com/problems/SHORTCUT,SHORTCUT,[]
Dice Contest,https://www.spoj.com/problems/DICE1,DICE1,[]
November Rain,https://www.spoj.com/problems/RAIN1,RAIN1,[]
Football,https://www.spoj.com/problems/FOOTBALL,FOOTBALL,[]
Which is Next,https://www.spoj.com/problems/TREE2,TREE2,[]
Hang or not to hang,https://www.spoj.com/problems/HANGLET,HANGLET,[]
Minimizing maximizer,https://www.spoj.com/problems/MINIMAX,MINIMAX,[]
Two squares or not two squares,https://www.spoj.com/problems/TWOSQRS,TWOSQRS,['number-theory']
Cutting off Squares,https://www.spoj.com/problems/CUTSQRS,CUTSQRS,['game']
Numeral System of the Maya,https://www.spoj.com/problems/MAYA,MAYA,[]
Street Parade,https://www.spoj.com/problems/STPAR,STPAR,"['stack', 'ad-hoc-1']"
Shopping,https://www.spoj.com/problems/SHOP,SHOP,[]
Party Schedule,https://www.spoj.com/problems/PARTY,PARTY,['dynamic-programming']
Dance Floor,https://www.spoj.com/problems/DFLOOR,DFLOOR,"['linear-algebra', 'dijkstra-s-algorithm', 'bitmasks']"
Bus,https://www.spoj.com/problems/BUS,BUS,[]
Tower of Babylon,https://www.spoj.com/problems/BABTWR,BABTWR,[]
Fishmonger,https://www.spoj.com/problems/FISHER,FISHER,[]
GX Light Pipeline Inc,https://www.spoj.com/problems/LITEPIPE,LITEPIPE,[]
Highways,https://www.spoj.com/problems/HIGH,HIGH,[]
Alice and Bob,https://www.spoj.com/problems/ALICEBOB,ALICEBOB,[]
Binary Stirling Numbers,https://www.spoj.com/problems/BINSTIRL,BINSTIRL,"['math', 'stirling']"
Calendar of the Maya,https://www.spoj.com/problems/MAYACAL,MAYACAL,[]
Decoding Morse Sequences,https://www.spoj.com/problems/MORSE,MORSE,['dynamic-programming']
Exchanges,https://www.spoj.com/problems/EXCHNG,EXCHNG,[]
Fill the Cisterns,https://www.spoj.com/problems/CISTFILL,CISTFILL,['binary-search']
Horizontally Visible Segments,https://www.spoj.com/problems/SEGVIS,SEGVIS,[]
Family,https://www.spoj.com/problems/FAMILY,FAMILY,[]
Intervals,https://www.spoj.com/problems/INTERVAL,INTERVAL,[]
Rhombs,https://www.spoj.com/problems/RHOMBS,RHOMBS,[]
Servers,https://www.spoj.com/problems/SERVERS,SERVERS,[]
Solitaire,https://www.spoj.com/problems/SOLIT,SOLIT,['brute-force']
Timetable,https://www.spoj.com/problems/TTABLE,TTABLE,[]
